african_monarch_1;King From An African Dynasty;;;;;;;;;;;;;
african_visionary_thinker_desc;Our leader is a true visionary, and under his guidance we shall almost certainly see great leaps in technological progress.;;;;;;;;;;;;;
african_competent_placeholder;Competent Placeholder;;;;;;;;;;;;;
african_competent_placeholder_desc;Little good can be said about our leader. Fortunately, little bad can be said about him as well.;;;;;;;;;;;;;
african_imperious_autocrat;Imperious Autocrat;;;;;;;;;;;;;
african_imperious_autocrat_desc;No-one challenges our leader, for any reason. That said, he's quite impressive.;;;;;;;;;;;;;
african_prince_of_terror;Prince of Terror;;;;;;;;;;;;;
african_prince_of_terror_desc;Woe betide anyone or any nation that gets in the way of our leader's ambition.;;;;;;;;;;;;;
african_efficient_sociopath;Efficient Sociopath;;;;;;;;;;;;;
african_efficient_sociopath_desc;The country has never run more smoothly than under our leader's guidance. Everyone agrees. Just ask them. They're all nodding and smiling, aren't they?;;;;;;;;;;;;;
african_pig_headed_isolationist;Pig-Headed Isolationist;;;;;;;;;;;;;
african_pig_headed_isolationist_desc;Our leader is determined to keep our country isolated, favoring unquestioning adherence to tradition over all else.;;;;;;;;;;;;;
african_ambitious_union_boss;Ambitious Union Boss;;;;;;;;;;;;;
african_ambitious_union_boss_desc;Our leader hails from the ranks of the blue-collar unions, a man who has worked his way up through the ranks... right to the very top.;;;;;;;;;;;;;
african_dour_economist;Dour Economist;;;;;;;;;;;;;
african_dour_economist_desc;Our leader has a penchant for numbers and economics, even if he isn't particularly good with people.;;;;;;;;;;;;;
